artist,album,MA_score
Slayer,Reign in Blood,36.01
Metallica,Kill 'Em All,33.39
Hades Archer,Penis Metal,32.67
Iron Maiden,Iron Maiden,32.379999999999995
Metallica,Master of Puppets,31.83
Iron Maiden,The Number of the Beast,31.519999999999996
Megadeth,Rust in Peace,30.739999999999995
Agalloch,The Mantle,30.200000000000003
Metallica,Ride the Lightning,29.76
Black Sabbath,Paranoid,29.660000000000007
Morbid Angel,Altars of Madness,28.81
Burzum,Hvis lyset tar oss,28.389999999999997
Burzum,Filosofem,28.33
Death,Symbolic,27.899999999999995
Dissection,Storm of the Light's Bane,27.740000000000002
Metallica,...and Justice for All,27.739999999999995
Iron Maiden,Powerslave,27.69
Sepultura,Beneath the Remains,27.080000000000002
Megadeth,Dystopia,26.639999999999993
Black Sabbath,Black Sabbath,26.17
Sodom,Agent Orange,26.07
Death,Scream Bloody Gore,25.990000000000002
Wintersun,Time I,25.769999999999996
Black Sabbath,13,25.669999999999998
Megadeth,Countdown to Extinction,25.669999999999995
Judas Priest,Painkiller,25.64
Dark Angel,Darkness Descends,25.330000000000002
Immortal,At the Heart of Winter,25.09
Behemoth,The Satanist,24.840000000000003
Demolition Hammer,Epidemic of Violence,24.639999999999997
Iron Maiden,Seventh Son of a Seventh Son,24.31
Iron Maiden,Killers,24.23
Slayer,Show No Mercy,24.11
Death,Human,24.01
Children of Bodom,Follow the Reaper,23.849999999999998
Mayhem,Deathcrush,23.459999999999997
Wintersun,Wintersun,23.43
Ghost,Opus Eponymous,23.35
Obituary,Cause of Death,23.130000000000003
Vektor,Terminal Redux,23.06
Metallica,Death Magnetic,23.05
Immortal,Sons of Northern Darkness,23.02
Vio-lence,Eternal Nightmare,22.93
Iron Maiden,A Matter of Life and Death,22.92
Agalloch,Ashes Against the Grain,22.91
Cryptopsy,None So Vile,22.89
Opeth,Blackwater Park,22.88
Darkthrone,Transilvanian Hunger,22.87
Ulver,Nattens Madrigal - Aatte Hymne til Ulven i Manden,22.839999999999996
Iron Maiden,Piece of Mind,22.78
Deicide,Legion,22.770000000000003
Bolt Thrower,Realm of Chaos: Slaves to Darkness,22.72
Gorgoroth,Under the Sign of Hell,22.71
Possessed,Seven Churches,22.68
Immortal,All Shall Fall,22.64
Metallica,Hardwired... to Self-Destruct,22.549999999999997
Silencer,Death - Pierce Me,22.52
Amon Amarth,With Oden on Our Side,22.4
Demilich,Nespithe,22.27
Black Sabbath,Master of Reality,22.259999999999998
Pantera,Vulgar Display of Power,22.16
Bathory,Blood Fire Death,22.099999999999998
Dimmu Borgir,Enthrone Darkness Triumphant,22.06
Metallica,Metallica,21.910000000000004
Emperor,In the Nightside Eclipse,21.860000000000003
Cynic,Focus,21.84
Celtic Frost,Monotheist,21.450000000000003
At the Gates,Slaughter of the Soul,21.18
Symphony X,Paradise Lost,21.07
Exodus,Bonded by Blood,21.05
Kreator,Pleasure to Kill,21.04
Lykathea Aflame,Elvenefris,21.009999999999998
Black Sabbath,Heaven and Hell,20.98
Morbid Saint,Spectrum of Death,20.890000000000004
Pantera,The Great Southern Trendkill,20.869999999999997
Dimmu Borgir,Death Cult Armageddon,20.85
Megadeth,Killing Is My Business... and Business Is Good!,20.79
Iron Maiden,The X Factor,20.759999999999998
Suffocation,Effigy of the Forgotten,20.75
Testament,The New Order,20.660000000000004
Death,Leprosy,20.57
Opeth,Still Life,20.57
Slayer,Hell Awaits,20.46
Gorguts,Obscura,20.31
Blind Guardian,A Night at the Opera,20.279999999999998
Bathory,Bathory,20.259999999999998
Pestilence,Consuming Impulse,20.24
Iron Maiden,Somewhere in Time,20.189999999999998
Opeth,"My Arms, Your Hearse",20.18
Megadeth,United Abominations,20.17
Katatonia,Dance of December Souls,20.0
Death,Individual Thought Patterns,19.96
Kreator,Coma of Souls,19.87
Judas Priest,Stained Class,19.82
Megadeth,"So Far, So Good... So What!",19.77
Ulver,Bergtatt - Et Eeventyr i 5 Capitler,19.72
Suffocation,Pierced from Within,19.71
Black Sabbath,Born Again,19.700000000000003
Cradle of Filth,Dusk and Her Embrace,19.65
Death,The Sound of Perseverance,19.6
Dimmu Borgir,For all tid,19.57
Sepultura,Chaos A.D.,19.57
Angra,Temple of Shadows,19.51
Opeth,Orchid,19.38
Black Sabbath,Headless Cross,19.32
Burzum,Belus,19.259999999999998
Candlemass,Epicus Doomicus Metallicus,19.229999999999997
Cannibal Corpse,Tomb of the Mutilated,19.18
Darkthrone,A Blaze in the Northern Sky,19.119999999999997
Necrophagist,Epitaph,19.06
Dream Theater,Images and Words,19.0
Ahab,The Call of the Wretched Sea,18.990000000000002
Darkthrone,Under a Funeral Moon,18.94
