,artist,album,MA_score
0,Slayer,Reign in Blood,36.01
1,Metallica,Kill 'Em All,33.39
2,Hades Archer,Penis Metal,32.67
3,Iron Maiden,Iron Maiden,32.379999999999995
4,Metallica,Master of Puppets,31.83
5,Iron Maiden,The Number of the Beast,31.519999999999996
6,Megadeth,Rust in Peace,30.739999999999995
7,Agalloch,The Mantle,30.200000000000003
8,Metallica,Ride the Lightning,29.76
9,Black Sabbath,Paranoid,29.660000000000007
10,Morbid Angel,Altars of Madness,28.81
11,Burzum,Hvis lyset tar oss,28.389999999999997
12,Burzum,Filosofem,28.33
13,Death,Symbolic,27.899999999999995
14,Dissection,Storm of the Light's Bane,27.740000000000002
15,Metallica,...and Justice for All,27.739999999999995
16,Iron Maiden,Powerslave,27.69
17,Sepultura,Beneath the Remains,27.080000000000002
18,Megadeth,Dystopia,26.639999999999993
19,Black Sabbath,Black Sabbath,26.17
20,Sodom,Agent Orange,26.07
21,Death,Scream Bloody Gore,25.990000000000002
22,Wintersun,Time I,25.769999999999996
23,Black Sabbath,13,25.669999999999998
24,Megadeth,Countdown to Extinction,25.669999999999995
25,Judas Priest,Painkiller,25.64
26,Dark Angel,Darkness Descends,25.330000000000002
27,Immortal,At the Heart of Winter,25.09
28,Behemoth,The Satanist,24.840000000000003
29,Demolition Hammer,Epidemic of Violence,24.639999999999997
30,Iron Maiden,Seventh Son of a Seventh Son,24.31
31,Iron Maiden,Killers,24.23
32,Slayer,Show No Mercy,24.11
33,Death,Human,24.01
34,Children of Bodom,Follow the Reaper,23.849999999999998
35,Mayhem,Deathcrush,23.459999999999997
36,Wintersun,Wintersun,23.43
37,Ghost,Opus Eponymous,23.35
38,Obituary,Cause of Death,23.130000000000003
39,Vektor,Terminal Redux,23.06
40,Metallica,Death Magnetic,23.05
41,Immortal,Sons of Northern Darkness,23.02
42,Vio-lence,Eternal Nightmare,22.93
43,Iron Maiden,A Matter of Life and Death,22.92
44,Agalloch,Ashes Against the Grain,22.91
45,Cryptopsy,None So Vile,22.89
46,Opeth,Blackwater Park,22.88
47,Darkthrone,Transilvanian Hunger,22.87
48,Ulver,Nattens Madrigal - Aatte Hymne til Ulven i Manden,22.839999999999996
49,Iron Maiden,Piece of Mind,22.78
50,Deicide,Legion,22.770000000000003
51,Bolt Thrower,Realm of Chaos: Slaves to Darkness,22.72
52,Gorgoroth,Under the Sign of Hell,22.71
53,Possessed,Seven Churches,22.68
54,Immortal,All Shall Fall,22.64
55,Metallica,Hardwired... to Self-Destruct,22.549999999999997
56,Silencer,Death - Pierce Me,22.52
57,Amon Amarth,With Oden on Our Side,22.4
58,Demilich,Nespithe,22.27
59,Black Sabbath,Master of Reality,22.259999999999998
60,Pantera,Vulgar Display of Power,22.16
61,Bathory,Blood Fire Death,22.099999999999998
62,Dimmu Borgir,Enthrone Darkness Triumphant,22.06
63,Metallica,Metallica,21.910000000000004
64,Emperor,In the Nightside Eclipse,21.860000000000003
65,Cynic,Focus,21.84
66,Celtic Frost,Monotheist,21.450000000000003
67,At the Gates,Slaughter of the Soul,21.18
68,Symphony X,Paradise Lost,21.07
69,Exodus,Bonded by Blood,21.05
70,Kreator,Pleasure to Kill,21.04
71,Lykathea Aflame,Elvenefris,21.009999999999998
72,Black Sabbath,Heaven and Hell,20.98
73,Morbid Saint,Spectrum of Death,20.890000000000004
74,Pantera,The Great Southern Trendkill,20.869999999999997
75,Dimmu Borgir,Death Cult Armageddon,20.85
76,Megadeth,Killing Is My Business... and Business Is Good!,20.79
77,Iron Maiden,The X Factor,20.759999999999998
78,Suffocation,Effigy of the Forgotten,20.75
79,Testament,The New Order,20.660000000000004
80,Death,Leprosy,20.57
81,Opeth,Still Life,20.57
82,Slayer,Hell Awaits,20.46
83,Gorguts,Obscura,20.31
84,Blind Guardian,A Night at the Opera,20.279999999999998
85,Bathory,Bathory,20.259999999999998
86,Pestilence,Consuming Impulse,20.24
87,Iron Maiden,Somewhere in Time,20.189999999999998
88,Opeth,"My Arms, Your Hearse",20.18
89,Megadeth,United Abominations,20.17
90,Katatonia,Dance of December Souls,20.0
91,Death,Individual Thought Patterns,19.96
92,Kreator,Coma of Souls,19.87
93,Judas Priest,Stained Class,19.82
94,Megadeth,"So Far, So Good... So What!",19.77
95,Ulver,Bergtatt - Et Eeventyr i 5 Capitler,19.72
96,Suffocation,Pierced from Within,19.71
97,Black Sabbath,Born Again,19.700000000000003
98,Cradle of Filth,Dusk and Her Embrace,19.65
99,Death,The Sound of Perseverance,19.6
100,Dimmu Borgir,For all tid,19.57
101,Sepultura,Chaos A.D.,19.57
102,Angra,Temple of Shadows,19.51
103,Opeth,Orchid,19.38
104,Black Sabbath,Headless Cross,19.32
105,Burzum,Belus,19.259999999999998
106,Candlemass,Epicus Doomicus Metallicus,19.229999999999997
107,Cannibal Corpse,Tomb of the Mutilated,19.18
108,Darkthrone,A Blaze in the Northern Sky,19.119999999999997
109,Necrophagist,Epitaph,19.06
110,Dream Theater,Images and Words,19.0
111,Ahab,The Call of the Wretched Sea,18.990000000000002
112,Darkthrone,Under a Funeral Moon,18.94
113,Metallica,St. Anger,18.880000000000003
114,Megadeth,Endgame,18.87
115,Nightwish,Dark Passion Play,18.869999999999997
116,Artillery,By Inheritance,18.86
117,Cannibal Corpse,Kill,18.86
118,Iron Maiden,The Book of Souls,18.849999999999994
119,Blind Guardian,Somewhere Far Beyond,18.82
120,Kreator,Hordes of Chaos,18.77
121,Black Sabbath,Black Sabbath Vol 4,18.700000000000003
122,Dio,Holy Diver,18.7
123,Megadeth,Peace Sells... But Who's Buying?,18.7
124,Carcass,Surgical Steel,18.699999999999996
125,Anthrax,Among the Living,18.63
126,Opeth,Watershed,18.6
127,Drudkh,Autumn Aurora,18.549999999999997
128,Fleshgod Apocalypse,Agony,18.450000000000003
129,Iron Maiden,The Final Frontier,18.439999999999998
130,Black Sabbath,Sabbath Bloody Sabbath,18.419999999999998
