artist,album,release-date,listeners,playcount,tags,ignored tags
Opeth,Pale Communion,2014-06-17,99876,2636647,[],"['Progressive rock', 'neo-erotic spandex rock', '2014', 'Chad Kroeger', 'Stevie Willie Didgeridoo']"
Cynic,Traced in Air,2008-10-22,99804,3440206,[],"['Progressive metal', 'progressive death metal', 'Technical Death Metal', '2008', 'Masterpiece']"
Nevermore,This Godless Endeavor,2005-07-25,99271,2635940,"['thrash metal', 'heavy metal']","['Progressive metal', 'albums I own', 'Power metal']"
Arch Enemy,Burning Bridges,1999-05-21,97764,1610245,"['death metal', 'thrash metal']","['Melodic Death Metal', 'albums I own', 'swedish']"
Agalloch,Pale Folklore,1999-07-06,97664,2894251,"['folk metal', 'doom metal', 'black metal']","['1999', 'albums I own']"
Mayhem,Deathcrush,1987-03,97480,1557715,['black metal'],"['True Norwegian Black Metal', 'Norwegian Black Metal', 'metal', 'albums I own']"
Sabbat,Dreamweaver,1989-09,9719,149420,"['thrash metal', 'pagan metal']","['metal', 'albums I own', 'epic']"
Rush,Grace Under Pressure,1984-04-12,96729,1562524,[],"['Progressive rock', 'albums I own', '1984', '80s', 'classic rock']"
Celtic Frost,Monotheist,2006,96350,1978261,"['doom metal', 'black metal', 'thrash metal']","['Avant-garde Metal', 'albums I own']"
Enmity,Illuminations of Vile Engorgement,2005-04-04,961,43435,[],"['2005', 'Brutal Death Metal', 'most brutal metal album ever']"
Blind Guardian,A Night at the Opera,2002-03-05,95668,2729237,['symphonic metal'],"['Power metal', 'Progressive metal', 'epic metal', 'albums I own']"
Angra,Temple of Shadows,2004-09-06,95656,2715612,['melodic metal'],"['Power metal', 'Progressive metal', 'albums I own', 'brazilian']"
The Gathering,Mandylion,1995-08-28,95552,1777054,[],"['albums I own', 'Gothic Metal', 'Progressive metal', 'Atmospheric metal', '1995']"
Kreator,Extreme Aggression,1989-06-19,95521,1478265,['thrash metal'],"['albums I own', '1989', 'german thrash metal', 'metal']"
Strapping Young Lad,City,1996,95169,2110513,[],"['industrial metal', 'albums I own', 'Progressive metal', 'Extreme Metal', 'metal']"
Destruction,Sentence of Death,1984-09-03,9514,135004,"['thrash metal', 'black metal']","['german thrash metal', '1984', 'Speed Metal Swirl']"
King Diamond,Abigail,1987,95071,1655579,['heavy metal'],"['concept album', 'albums I own', 'Progressive metal', '1987']"
Metallica,Master of Puppets,2003,949182,22464934,"['thrash metal', 'heavy metal']","['albums I own', 'metal', 'favourite albums']"
Immortal,Pure Holocaust,1993-11-01,94704,1538148,['black metal'],"['True Norwegian Black Metal', 'Norwegian Black Metal', '1993', 'albums I own']"
Immortal,At the Heart of Winter,1999-02-28,94190,1911912,['black metal'],"['Norwegian Black Metal', 'melodic black metal', '1999', 'metal']"
Anathema,The Silent Enigma,1995-08-17,93714,1705453,['doom metal'],"['albums I own', 'Death Doom Metal', 'Doom', 'Gothic Metal']"
Gamma Ray,Land of the Free,1995-05-29,93554,1597275,"['heavy metal', 'speed metal']","['Power metal', '1995', 'albums I own']"
Municipal Waste,The Art of Partying,2007-06-11,93433,3074300,"['thrash metal', 'crossover thrash']","['2007', 'crossover', 'albums I own']"
